name,gain,bw,kf_weight,ref_weight,val_mle,val_p90
g100_b7,1.00,7.0,1.50,2.50,1.654722468,2.843584723
g075_b7,0.75,7.0,1.50,2.50,1.627936768,2.825771822
g050_b7,0.50,7.0,1.50,2.50,1.603003609,2.813929895
g035_b7,0.35,7.0,1.50,2.50,1.591082729,2.809989628
g025_b7,0.25,7.0,1.50,2.50,1.570659837,2.785173080
g050_b6,0.50,6.0,1.50,2.50,1.615636751,2.820391675
g035_b6,0.35,6.0,1.50,2.50,1.603731616,2.816388380
g025_b6,0.25,6.0,1.50,2.50,1.583288019,2.788869332
g050_b6_r3,0.50,6.0,1.50,3.00,1.492752290,2.538835090
g035_b6_r3,0.35,6.0,1.50,3.00,1.482880753,2.531516218
