pair_current_index,pair_next_index,current_frame_id,next_frame_id,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,ms_candidate_count,gru_next_xy_x,gru_next_xy_y,kalman_next_xy_x,kalman_next_xy_y
0,1,0,1,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.725164413452148,-1.2636386156082153,5.134360062203189,-25.919267654418945,-1.4582853317260742,-16.3399600982666,-1.5208189487457275,9.579511663368596,36,-14.278910636901855,-1.0112459659576416,-16.3399600982666,-1.5208189487457275
1,2,1,2,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.217599868774414,-1.649889349937439,3.706623327918987,-28.881437301635742,-1.16508948802948,-22.51336669921875,-0.9599685668945312,6.371373304842117,36,-24.79776382446289,-0.8087332248687744,-22.51336669921875,-0.9599685668945312
2,3,2,3,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.52801513671875,-1.4044976234436035,6.357931224931659,-31.84273910522461,-0.8719794154167175,-25.377538681030273,-0.7229896187782288,6.4669169226537155,36,-25.73456573486328,-0.8503519892692566,-25.377538681030273,-0.7229896187782288
3,4,3,4,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.19841766357422,-1.344008445739746,5.6640247123526954,-34.80412292480469,-0.5788613557815552,-30.144941329956055,-0.6625011563301086,4.659932268822375,36,-31.02676010131836,-0.9372460246086121,-30.144941329956055,-0.6625011563301086
4,5,4,5,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.296127319335938,-0.8229289054870605,8.511495649502196,-38.077056884765625,-0.2521708011627197,-32.4093017578125,-0.008799745701253414,5.67297784675208,36,-31.757478713989258,0.3909984827041626,-32.4093017578125,-0.008799745701253414
5,6,5,6,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.965103149414062,-0.7308599948883057,8.126065268546261,-41.34334182739258,0.07385636121034622,-35.78121566772461,0.6170871257781982,5.588590795507908,36,-36.15875244140625,0.9119515419006348,-35.78121566772461,0.6170871257781982
6,7,6,7,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.300689697265625,0.9880398511886597,8.094441595291459,-44.61831283569336,0.40075016021728516,-39.817378997802734,1.429028868675232,4.909819020908118,36,-40.96521759033203,1.8395180702209473,-39.817378997802734,1.429028868675232
7,8,7,8,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-39.29884719848633,-1.9792786836624146,5.827628330901495,-47.93851089477539,0.7270652055740356,-43.818603515625,0.9055617451667786,4.123772281228005,36,-45.528865814208984,-0.39682435989379883,-43.818603515625,0.9055617451667786
8,9,8,9,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-38.16938400268555,-2.9694666862487793,10.445103554346224,-51.25859451293945,1.0533686876296997,-46.74297332763672,-0.03741971030831337,4.645498252957485,36,-45.93508529663086,-1.6732866764068604,-46.74297332763672,-0.03741971030831337
9,10,9,10,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.824920654296875,0.21745654940605164,0.9417123331992494,-54.585689544677734,1.3803616762161255,-52.658164978027344,1.2843291759490967,1.9299153339326347,36,-56.779781341552734,3.4124131202697754,-52.658164978027344,1.2843291759490967
10,11,10,11,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,0.0,-54.069576263427734,1.8826282024383545,0.7201698288917598,-57.930152893066406,1.7030118703842163,-58.16986083984375,2.820786476135254,1.1431885098312078,36,-60.14164352416992,4.085396766662598,-58.16986083984375,2.820786476135254
11,12,11,12,-57.930152893066406,1.7030118703842163,-57.930152893066406,1.7030118703842163,0.0,-54.707862854003906,1.8979504108428955,3.2281812418756117,-61.281715393066406,2.0263473987579346,-62.14677810668945,3.289505958557129,1.5309810729381486,36,-61.44004821777344,3.1154913902282715,-62.14677810668945,3.289505958557129
12,13,12,13,-61.281715393066406,2.0263473987579346,-61.281715393066406,2.0263473987579346,0.0,-71.48768615722656,3.3606817722320557,10.29282699063413,-64.62455749511719,2.3488411903381348,-69.0799789428711,3.9112141132354736,4.721418158488855,36,-76.14202880859375,3.9582362174987793,-69.0799789428711,3.9112141132354736
13,14,13,14,-64.62455749511719,2.3488411903381348,-64.62455749511719,2.3488411903381348,0.0,-75.41407775878906,6.955306053161621,11.731720506925376,-67.96265411376953,2.678952693939209,-77.67058563232422,6.028866291046143,10.269657028208364,36,-81.47241973876953,8.313838005065918,-77.67058563232422,6.028866291046143
14,15,14,15,-67.96265411376953,2.678952693939209,-67.96265411376953,2.678952693939209,0.0,-74.39954376220703,6.409513473510742,7.439800540084338,-71.30087280273438,3.009075880050659,-81.1807632446289,6.694512367248535,10.54488867864466,36,-77.80525970458984,6.2308831214904785,-81.1807632446289,6.694512367248535
15,16,15,16,-71.30087280273438,3.009075880050659,-71.30087280273438,3.009075880050659,0.0,-76.67483520507812,5.20000696182251,5.803417174982183,-74.64299774169922,3.3395848274230957,-83.45172119140625,6.232644081115723,9.271644981274633,36,-80.01220703125,4.511594772338867,-83.45172119140625,6.232644081115723
16,17,16,17,-74.64299774169922,3.3395848274230957,-74.64299774169922,3.3395848274230957,0.0,-79.19923400878906,5.8476481437683105,5.200929774601975,-77.97047424316406,3.6625680923461914,-86.30547332763672,6.061539173126221,8.673365666486045,36,-84.55352020263672,5.170283317565918,-86.30547332763672,6.061539173126221
17,18,17,18,-77.97047424316406,3.6625680923461914,-77.97047424316406,3.6625680923461914,0.0,-84.58065795898438,5.6331939697265625,6.897673166039197,-81.29307556152344,3.9850776195526123,-89.68793487548828,5.762646198272705,8.580991373571894,36,-88.48287200927734,4.970391273498535,-89.68793487548828,5.762646198272705
18,19,18,19,-81.29307556152344,3.9850776195526123,-81.29307556152344,3.9850776195526123,0.0,-80.61783599853516,3.7485320568084717,0.7154734591014171,-84.62059020996094,4.3080644607543945,-88.90045928955078,4.363889694213867,4.280233147285323,36,-80.5622329711914,2.2243423461914062,-88.90045928955078,4.363889694213867
19,20,19,20,-84.62059020996094,4.3080644607543945,-84.62059020996094,4.3080644607543945,0.0,-85.51878356933594,4.550119400024414,0.9302375526984281,-87.91920471191406,4.623467922210693,-89.48211669921875,3.6914124488830566,1.8197311025040739,36,-86.23957824707031,3.1265506744384766,-89.48211669921875,3.6914124488830566
20,21,20,21,-87.91920471191406,4.623467922210693,-87.91920471191406,4.623467922210693,0.0,-89.84191131591797,4.285179138183594,1.9522397359132837,-91.22086334228516,4.939162731170654,-90.8669204711914,2.9834506511688232,1.9874821498225275,36,-89.96746826171875,2.549262046813965,-90.8669204711914,2.9834506511688232
21,22,21,22,-91.22086334228516,4.939162731170654,-91.22086334228516,4.939162731170654,0.0,-91.37755584716797,5.15184211730957,0.26416862488735554,-94.5164794921875,5.254280090332031,-92.97755432128906,3.56181001663208,2.2875195369645924,36,-93.12953186035156,4.77707576751709,-92.97755432128906,3.56181001663208
22,23,22,23,-94.5164794921875,5.254280090332031,-94.5164794921875,5.254280090332031,0.0,-94.29205322265625,4.656792163848877,0.6382467961132687,-97.71556854248047,5.570963382720947,-95.36634826660156,3.7114031314849854,2.9961308770775217,36,-95.97876739501953,4.118539810180664,-95.36634826660156,3.7114031314849854
23,24,23,24,-97.71556854248047,5.570963382720947,-97.71556854248047,5.570963382720947,0.0,-97.11215209960938,4.589775085449219,1.151886226252488,-101.2225570678711,5.918126583099365,-97.7200927734375,3.816041946411133,4.084852011221815,36,-98.12648010253906,4.08293342590332,-97.7200927734375,3.816041946411133
24,25,24,25,-101.2225570678711,5.918126583099365,-101.2225570678711,5.918126583099365,0.0,-98.89566802978516,4.749648094177246,2.6037961853106357,-104.41236877441406,6.233891487121582,-99.77393341064453,4.1464619636535645,5.086496302890006,36,-99.56572723388672,4.63761043548584,-99.77393341064453,4.1464619636535645
25,26,25,26,-104.41236877441406,6.233891487121582,-104.41236877441406,6.233891487121582,0.0,-101.43992614746094,3.597978115081787,3.9728395985020835,-107.75296020507812,6.5345540046691895,-101.79779052734375,3.9177699089050293,6.50473711186326,36,-101.54765319824219,3.5380654335021973,-101.79779052734375,3.9177699089050293
26,27,26,27,-107.75296020507812,6.5345540046691895,-107.75296020507812,6.5345540046691895,0.0,-112.78660583496094,2.1463565826416016,6.67786380079198,-111.09230041503906,6.835103988647461,-108.48136138916016,3.5677711963653564,4.182399571105021,36,-113.48578643798828,3.0759875774383545,-108.48136138916016,3.5677711963653564
27,28,27,28,-111.09230041503906,6.835103988647461,-111.09230041503906,6.835103988647461,0.0,-118.50475311279297,3.0941481590270996,8.302963658574553,-114.4308090209961,7.135579586029053,-118.18595886230469,3.8957769870758057,4.959583773953634,36,-121.30028533935547,4.5074896812438965,-118.18595886230469,3.8957769870758057
28,29,28,29,-114.4308090209961,7.135579586029053,-114.4308090209961,7.135579586029053,0.0,-118.69349670410156,3.411025047302246,5.660637136899831,-117.76180267333984,7.465998649597168,-122.4916000366211,4.530824184417725,5.56652784406435,36,-122.12528991699219,5.396191596984863,-122.4916000366211,4.530824184417725
29,30,29,30,-117.76180267333984,7.465998649597168,-117.76180267333984,7.465998649597168,0.0,-124.24160766601562,7.179331302642822,6.48614299186472,-121.08988952636719,7.79612922668457,-127.68095397949219,6.2884907722473145,6.76129457534176,36,-128.59689331054688,9.004149436950684,-127.68095397949219,6.2884907722473145
30,31,30,31,-121.08988952636719,7.79612922668457,-121.08988952636719,7.79612922668457,0.0,-127.50013732910156,7.097976207733154,6.448154350690736,-124.41860961914062,8.126322746276855,-131.90341186523438,7.575019836425781,7.505078251526783,36,-130.98011779785156,8.69118881225586,-131.90341186523438,7.575019836425781
31,32,31,32,-124.41860961914062,8.126322746276855,-124.41860961914062,8.126322746276855,0.0,-128.09463500976562,7.125356674194336,3.809868206379322,-127.7506332397461,8.479126930236816,-134.42343139648438,8.56192398071289,6.673311815893016,36,-131.63377380371094,8.923778533935547,-134.42343139648438,8.56192398071289
32,33,32,33,-127.7506332397461,8.479126930236816,-127.7506332397461,8.479126930236816,0.0,-130.38270568847656,6.890186309814453,3.074497954234839,-131.07872009277344,8.831513404846191,-136.35986328125,8.87697696685791,5.2813388750072825,36,-132.47866821289062,8.164908409118652,-136.35986328125,8.87697696685791
33,34,33,34,-131.07872009277344,8.831513404846191,-131.07872009277344,8.831513404846191,0.0,-133.73245239257812,6.7371649742126465,3.3806198348710947,-134.4064178466797,9.183857917785645,-138.11392211914062,8.991508483886719,3.7124905703634243,36,-135.18582153320312,8.14638900756836,-138.11392211914062,8.991508483886719
34,35,34,35,-134.4064178466797,9.183857917785645,-134.4064178466797,9.183857917785645,0.0,-138.87139892578125,6.759499549865723,5.080705613675949,-137.9134521484375,9.491893768310547,-140.29872131347656,9.033709526062012,2.428876651773616,36,-138.962646484375,8.272372245788574,-140.29872131347656,9.033709526062012
35,36,35,36,-137.9134521484375,9.491893768310547,-137.9134521484375,9.491893768310547,0.0,-138.7818145751953,6.76403284072876,2.8627396920488746,-141.10328674316406,9.772066116333008,-141.6526641845703,8.92133617401123,1.0126978857926445,36,-139.3981475830078,8.11473560333252,-141.6526641845703,8.92133617401123
36,37,36,37,-141.10328674316406,9.772066116333008,-141.10328674316406,9.772066116333008,0.0,-143.80953979492188,7.129042625427246,3.782773949580936,-144.29208374023438,10.052149772644043,-144.44253540039062,9.071495056152344,0.9921287088987933,36,-144.9343719482422,8.853677749633789,-144.44253540039062,9.071495056152344
37,38,37,38,-144.29208374023438,10.052149772644043,-144.29208374023438,10.052149772644043,0.0,-148.70811462402344,7.390407085418701,5.1561810382856414,-147.48928833007812,10.328798294067383,-148.25149536132812,9.239184379577637,1.3297435997727556,36,-150.16812133789062,9.102031707763672,-148.25149536132812,9.239184379577637
38,39,38,39,-147.48928833007812,10.328798294067383,-147.48928833007812,10.328798294067383,0.0,-148.6731414794922,7.363626480102539,3.19276559830332,-150.68637084960938,10.605437278747559,-150.1515655517578,9.146173477172852,1.5541774509998414,36,-148.72271728515625,8.66286849975586,-150.1515655517578,9.146173477172852
