pair_current_index,pair_next_index,current_frame_id,next_frame_id,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,ms_candidate_count,gru_next_xy_x,gru_next_xy_y,kalman_next_xy_x,kalman_next_xy_y
0,1,0,1,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,-47.69226837158203,1.7922438383102417,-34.346290588378906,0.6914679408073425,13.39129682167768,36,-33.719139099121094,0.5564356446266174,-34.346290588378906,0.6914679408073425
1,2,1,2,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,-50.9120979309082,2.1374623775482178,-37.0105094909668,-0.3448266386985779,14.121470175363896,36,-44.59756088256836,-0.9848179221153259,-37.0105094909668,-0.3448266386985779
2,3,2,3,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,-54.1414794921875,2.4837052822113037,-48.3046989440918,0.9919627904891968,6.02439232024589,36,-57.053062438964844,2.4874672889709473,-48.3046989440918,0.9919627904891968
3,4,3,4,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,-57.659645080566406,2.8609108924865723,-54.35299301147461,2.7703776359558105,3.3078911978127583,36,-55.061336517333984,4.11026668548584,-54.35299301147461,2.7703776359558105
4,5,4,5,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,-60.85377502441406,3.1642963886260986,-57.552093505859375,3.6891822814941406,3.3431431393970357,36,-55.15499496459961,3.9221866130828857,-57.552093505859375,3.6891822814941406
5,6,5,6,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,-64.02477264404297,3.465484857559204,-65.74160766601562,6.973352432250977,3.90546507016076,36,-72.17802429199219,9.44235610961914,-65.74160766601562,6.973352432250977
6,7,6,7,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,-67.50447845458984,3.795994520187378,-75.38135528564453,7.907649517059326,8.885431639763382,36,-78.59459686279297,7.374704360961914,-75.38135528564453,7.907649517059326
7,8,7,8,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,-70.70535278320312,4.076558589935303,-79.66963958740234,7.825170040130615,9.716507897000632,36,-75.74707794189453,6.099490165710449,-79.66963958740234,7.825170040130615
8,9,8,9,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,-73.90149688720703,4.35670804977417,-82.10110473632812,7.836060523986816,8.907270205802556,36,-77.9132308959961,6.670526504516602,-82.10110473632812,7.836060523986816
9,10,9,10,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,-77.41057586669922,4.6642866134643555,-81.7260971069336,6.8294243812561035,4.828203095193104,36,-76.46745300292969,4.649072647094727,-81.7260971069336,6.8294243812561035
10,11,10,11,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.76382446289062,5.47208309173584,0.8816573716694098,-80.71418762207031,4.9646830558776855,-81.581298828125,6.092576026916504,1.422682114101526,36,-77.25654602050781,4.792362213134766,-81.581298828125,6.092576026916504
