sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,raw_hardms_x,raw_hardms_y,refined_hardms_x,refined_hardms_y,visual_measurement_x,visual_measurement_y,polynomial_x,polynomial_y,poly_v_parallel,poly_v_cross,poly_a_parallel,poly_a_cross,inertia_strength,polynomial_sigma_m,measurement_var_x,measurement_var_y,refined_hardms_support,final_x,final_y,kf_vx,kf_vy,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-37.296630859375,-0.22260963916778564,-37.799930572509766,0.8136346936225891,-37.63298034667969,0.8348962068557739,2.2237539291381836,0.17297691106796265,-0.005250698421150446,-0.0015146208461374044,0.6798063516616821,4.1654253005981445,10.0,10.0,0.7297089695930481,-37.7120620325992,0.824824963745318,0.0,0.0,0.1682986319065094,0.07972040507713328
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,0,-47.69226837158203,1.7922438383102417,-37.799930572509766,0.8136346936225891,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-42.0279541015625,-0.19259993731975555,-40.298492431640625,0.8597534894943237,-40.02681350708008,0.8773969411849976,2.799006938934326,0.1153954416513443,-0.10183831304311752,0.013711128383874893,0.7582030296325684,3.2708699703216553,10.0,10.0,0.8201061487197876,-39.46782682004855,0.8485357411976518,-1.329064978547318,0.017948397274675024,7.452345848083496,8.278407081507064
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,0,-50.9120979309082,2.1374623775482178,-40.298492431640625,0.8597534894943237,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-42.0279541015625,-0.19259993731975555,-43.2826042175293,0.9876572489738464,-43.044090270996094,1.0289608240127563,2.962103843688965,0.08511537313461304,-0.12351436167955399,0.034426819533109665,0.7828640937805176,3.0368599891662598,10.0,10.0,0.8432524800300598,-42.592967859629184,0.9540389663578904,-2.275027839939552,0.06406204318991657,7.715648174285889,8.40288141728849
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,0,-54.1414794921875,2.4837052822113037,-43.2826042175293,0.9876572489738464,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-46.75927734375,-0.16259177029132843,-46.48909378051758,1.1458064317703247,-46.17749786376953,1.1927852630615234,3.026355266571045,0.06449853628873825,-0.1258566826581955,0.04307708144187927,0.7893366813659668,2.9835169315338135,10.0,10.0,0.8496090173721313,-45.93760512211048,1.1023617489343633,-2.714219583035887,0.0986602995495397,7.768460750579834,8.319354820954123
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,0,-57.659645080566406,2.8609108924865723,-46.48909378051758,1.1458064317703247,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-51.490604400634766,-0.13258513808250427,-49.72343444824219,1.2518844604492188,-49.44498825073242,1.3738092184066772,3.0472018718719482,0.053963810205459595,-0.12457852065563202,0.05118485540151596,0.7934789061546326,2.950244426727295,10.0,10.0,0.8539018630981445,-49.2984807356504,1.2317146449587477,-2.948361200822648,0.10977349397393085,8.097679138183594,8.518412388212573
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,0,-60.85377502441406,3.1642963886260986,-49.72343444824219,1.2518844604492188,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-51.490604400634766,-0.13258513808250427,-52.88068771362305,1.1396920680999756,-52.700008392333984,1.48860502243042,3.050689697265625,0.05183957517147064,-0.1274406462907791,0.057863205671310425,0.7979674339294434,2.911118268966675,10.0,10.0,0.8573815226554871,-52.60749084637815,1.2266691473221618,-3.0735311252067423,0.06992342343988164,8.226125717163086,8.470867846399715
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,0,-64.02477264404297,3.465484857559204,-52.88068771362305,1.1396920680999756,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-56.221927642822266,-0.10258004069328308,-56.153778076171875,1.0811223983764648,-55.85943603515625,1.3754222393035889,3.071073532104492,0.044939860701560974,-0.12607964873313904,0.05794818699359894,0.7979671955108643,2.911673069000244,10.0,10.0,0.859258770942688,-55.942077333582624,1.1776101963282486,-3.163857838765995,0.02875481164873779,8.22421646118164,8.400257969088825
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,0,-67.50447845458984,3.795994520187378,-56.153778076171875,1.0811223983764648,-70.35478210449219,9.503743171691895,-60.98381805419922,-4.830735206604004,-60.95325469970703,-0.07257647067308426,-59.58251190185547,0.9680373072624207,-59.152748107910156,1.3259000778198242,3.06400465965271,0.04351327195763588,-0.1291048228740692,0.06186565384268761,0.8000097870826721,2.8941566944122314,10.0,10.0,0.8613985776901245,-59.36608287969743,1.0762696820831572,-3.2544847215364086,-0.016566109949660575,8.411593437194824,8.580814980433352
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,0,-70.70535278320312,4.076558589935303,-59.58251190185547,0.9680373072624207,-75.08610534667969,9.533742904663086,-70.41590118408203,-0.01257393043488264,-60.95325469970703,-0.07257647067308426,-62.97373962402344,1.130723237991333,-62.57300567626953,1.2113778591156006,3.0512027740478516,0.04772485792636871,-0.1300194263458252,0.06618058681488037,0.8005990982055664,2.888119697570801,10.0,10.0,0.8614939451217651,-62.81278525560207,1.098356785594127,-3.3217970182037218,-0.003030222311459727,8.27380084991455,8.435775492811768
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,0,-73.90149688720703,4.35670804977417,-62.97373962402344,1.130723237991333,-75.08610534667969,9.533742904663086,-70.41590118408203,-0.01257393043488264,-65.68457794189453,-0.0425744354724884,-66.39193725585938,1.3843824863433838,-65.95172119140625,1.3663275241851807,3.0705504417419434,0.04900132864713669,-0.1296747773885727,0.06556273251771927,0.8009177446365356,2.8844547271728516,10.0,10.0,0.8588072061538696,-66.27462632857873,1.252621219863788,-3.370942206019911,0.05216866101632825,8.076397895812988,8.234349371121814
