route,frame_index,patch_count_N,active_ms_modes_K
route_B,0,36,1
route_B,8,36,1
route_B,17,36,1
route_B,26,36,1
route_B,35,36,1
route_B,44,36,2
route_B,53,36,1
route_B,62,36,1
route_B,71,36,1
route_B,80,36,1
route_B,89,36,1
route_B,98,36,3
route_B,107,36,1
route_B,115,36,1
route_B,124,36,1
route_B,133,36,1
route_B,142,36,1
route_B,151,36,1
route_B,160,36,1
route_B,169,36,1
route_B,178,36,1
route_B,187,36,1
route_B,196,36,1
route_B,205,36,1
route_B,214,36,1
route_B,223,36,1
route_B,231,36,1
route_B,240,36,3
route_B,249,36,1
route_B,258,36,1
route_B,267,36,1
route_B,276,36,1
route_B,285,36,1
route_B,294,36,1
route_B,303,36,1
route_B,312,36,1
route_B,321,36,1
route_B,330,36,1
route_B,339,36,1
route_B,347,36,1
route_B,356,36,1
route_B,365,36,1
route_B,374,36,6
route_B,383,36,1
route_B,392,36,6
route_B,401,36,1
route_B,410,36,1
route_B,419,36,2
route_B,428,36,1
route_B,437,36,1
route_B,446,36,1
route_B,455,36,1
route_B,463,36,1
route_B,472,36,1
route_B,481,36,1
route_B,490,36,6
route_B,499,36,1
route_B,508,36,1
route_B,517,36,1
route_B,526,36,1
route_B,535,36,1
route_B,544,36,1
route_B,553,36,1
route_B,562,36,1
route_B,570,36,1
route_B,579,36,2
route_B,588,36,1
route_B,597,36,1
route_B,606,36,1
route_B,615,36,1
route_B,624,36,1
route_B,633,36,1
route_B,642,36,1
route_B,651,36,1
route_B,660,36,1
route_B,669,36,1
route_B,678,36,1
route_B,686,36,1
route_B,695,36,1
route_B,704,36,1
route_B,713,36,3
route_B,722,36,1
route_B,731,36,4
route_B,740,36,1
route_B,749,36,1
route_B,758,36,1
route_B,767,36,1
route_B,776,36,1
route_B,785,36,1
route_B,794,36,1
route_B,802,36,1
route_B,811,36,1
route_B,820,36,1
route_B,829,36,1
route_B,838,36,1
route_B,847,36,1
route_B,856,36,1
route_B,865,36,1
route_B,874,36,1
route_B,883,36,1
route_B,892,36,1
route_B,901,36,1
route_B,910,36,1
route_B,918,36,1
route_B,927,36,1
route_B,936,36,1
route_B,945,36,1
route_B,954,36,1
route_B,963,36,2
route_B,972,36,1
route_B,981,36,2
route_B,990,36,1
route_B,999,36,4
route_B,1008,36,1
route_B,1017,36,8
route_B,1025,36,1
route_B,1034,36,1
route_B,1043,36,1
route_B,1052,36,4
route_B,1061,36,1
route_B,1070,36,1
route_B,1079,36,1
route_B,1088,36,1
route_B,1097,36,1
route_B,1106,36,1
route_B,1115,36,1
route_B,1124,36,1
route_B,1133,36,1
route_B,1141,36,1
route_B,1150,36,1
route_B,1159,36,1
route_B,1168,36,1
route_B,1177,36,5
route_B,1186,36,1
route_B,1195,36,1
route_B,1204,36,2
route_B,1213,36,1
route_B,1222,36,1
route_B,1231,36,3
route_B,1240,36,1
route_B,1249,36,1
route_B,1257,36,1
route_B,1266,36,1
route_B,1275,36,1
route_B,1284,36,1
route_B,1293,36,1
route_B,1302,36,2
route_B,1311,36,1
route_B,1320,36,1
route_B,1329,36,1
route_B,1338,36,1
route_B,1347,36,1
route_B,1356,36,1
route_B,1365,36,1
route_B,1373,36,1
route_B,1382,36,1
route_B,1391,36,3
route_B,1400,36,1
route_B,1409,36,1
route_B,1418,36,1
route_B,1427,36,1
route_B,1436,36,1
route_B,1445,36,1
route_B,1454,36,1
route_B,1463,36,3
route_B,1472,36,1
route_B,1480,36,1
route_B,1489,36,5
route_B,1498,36,1
route_B,1507,36,1
route_B,1516,36,3
route_B,1525,36,1
route_B,1534,36,1
route_B,1543,36,1
route_B,1552,36,1
route_B,1561,36,4
route_B,1570,36,1
route_B,1579,36,1
route_B,1588,36,1
route_B,1596,36,1
route_B,1605,36,1
route_B,1614,36,1
route_B,1623,36,1
route_B,1632,36,4
route_B,1641,36,1
route_B,1650,36,1
route_B,1659,36,2
route_B,1668,36,1
route_B,1677,36,7
route_B,1686,36,2
route_B,1695,36,1
route_B,1704,36,1
route_B,1712,36,1
route_B,1721,36,1
route_B,1730,36,3
route_B,1739,36,1
route_B,1748,36,1
route_B,1757,36,1
route_B,1766,36,1
route_B,1775,36,3
route_B,1784,36,1
route_B,1793,36,1
route_B,1802,36,1
route_B,1811,36,1
route_B,1820,36,1
route_B,1828,36,1
route_B,1837,36,2
route_B,1846,36,1
route_B,1855,36,11
route_B,1864,36,1
route_B,1873,36,1
route_B,1882,36,1
route_B,1891,36,1
route_B,1900,36,1
route_B,1909,36,1
route_B,1918,36,8
route_B,1927,36,4
route_B,1935,36,7
route_B,1944,36,1
route_B,1953,36,1
route_B,1962,36,1
route_B,1971,36,1
route_B,1980,36,1
route_B,1989,36,1
route_B,1998,36,1
route_B,2007,36,1
route_B,2016,36,1
route_B,2025,36,1
route_B,2034,36,1
route_B,2043,36,1
route_B,2051,36,7
route_B,2060,36,1
route_B,2069,36,1
route_B,2078,36,1
route_B,2087,36,1
route_B,2096,36,1
route_B,2105,36,1
route_B,2114,36,1
route_B,2123,36,1
route_B,2132,36,1
route_B,2141,36,2
route_B,2150,36,1
route_B,2159,36,1
route_B,2167,36,1
route_B,2176,36,1
route_B,2185,36,1
route_B,2194,36,1
route_B,2203,36,1
route_B,2212,36,1
route_B,2221,36,1
route_B,2230,36,10
route_B,2239,36,1
route_B,2248,36,1
route_B,2257,36,1
route_B,2266,36,1
route_B,2275,36,1
route_C,0,36,1
route_C,4,36,1
route_C,9,36,1
route_C,14,36,1
route_C,19,36,1
route_C,24,36,1
route_C,29,36,2
route_C,34,36,3
route_C,39,36,1
route_C,44,36,1
route_C,49,36,2
route_C,54,36,7
route_C,59,36,1
route_C,64,36,1
route_C,69,36,1
route_C,73,36,1
route_C,78,36,1
route_C,83,36,1
route_C,88,36,1
route_C,93,36,1
route_C,98,36,2
route_C,103,36,1
route_C,108,36,3
route_C,113,36,3
route_C,118,36,1
route_C,123,36,4
route_C,128,36,1
route_C,133,36,3
route_C,138,36,1
route_C,142,36,1
route_C,147,36,3
route_C,152,36,1
route_C,157,36,1
route_C,162,36,1
route_C,167,36,1
route_C,172,36,1
route_C,177,36,2
route_C,182,36,1
route_C,187,36,1
route_C,192,36,1
route_C,197,36,3
route_C,202,36,10
route_C,207,36,1
route_C,211,36,1
route_C,216,36,1
route_C,221,36,1
route_C,226,36,1
route_C,231,36,3
route_C,236,36,1
route_C,241,36,1
route_C,246,36,1
route_C,251,36,1
route_C,256,36,1
route_C,261,36,2
route_C,266,36,1
route_C,271,36,2
route_C,276,36,1
route_C,280,36,1
route_C,285,36,1
route_C,290,36,1
route_C,295,36,1
route_C,300,36,1
route_C,305,36,1
route_C,310,36,1
route_C,315,36,1
route_C,320,36,1
route_C,325,36,1
route_C,330,36,1
route_C,335,36,1
route_C,340,36,4
route_C,345,36,1
route_C,349,36,1
route_C,354,36,1
route_C,359,36,1
route_C,364,36,1
route_C,369,36,1
route_C,374,36,1
route_C,379,36,1
route_C,384,36,1
route_C,389,36,1
route_C,394,36,2
route_C,399,36,1
route_C,404,36,1
route_C,409,36,2
route_C,414,36,2
route_C,419,36,1
route_C,423,36,1
route_C,428,36,1
route_C,433,36,1
route_C,438,36,1
route_C,443,36,1
route_C,448,36,1
route_C,453,36,1
route_C,458,36,1
route_C,463,36,1
route_C,468,36,1
route_C,473,36,1
route_C,478,36,1
route_C,483,36,1
route_C,488,36,1
route_C,492,36,1
route_C,497,36,1
route_C,502,36,1
route_C,507,36,2
route_C,512,36,1
route_C,517,36,3
route_C,522,36,1
route_C,527,36,1
route_C,532,36,1
route_C,537,36,1
route_C,542,36,2
route_C,547,36,1
route_C,552,36,1
route_C,557,36,1
route_C,561,36,1
route_C,566,36,1
route_C,571,36,1
route_C,576,36,1
route_C,581,36,2
route_C,586,36,1
route_C,591,36,2
route_C,596,36,1
route_C,601,36,1
route_C,606,36,1
route_C,611,36,7
route_C,616,36,7
route_C,621,36,1
route_C,626,36,1
route_C,630,36,1
route_C,635,36,1
route_C,640,36,1
route_C,645,36,1
route_C,650,36,1
route_C,655,36,1
route_C,660,36,1
route_C,665,36,1
route_C,670,36,1
route_C,675,36,1
route_C,680,36,1
route_C,685,36,1
route_C,690,36,1
route_C,695,36,1
route_C,699,36,1
route_C,704,36,1
route_C,709,36,1
route_C,714,36,2
route_C,719,36,1
route_C,724,36,1
route_C,729,36,1
route_C,734,36,1
route_C,739,36,1
route_C,744,36,1
route_C,749,36,1
route_C,754,36,1
route_C,759,36,7
route_C,764,36,3
route_C,768,36,1
route_C,773,36,1
route_C,778,36,1
