frame_id,leg_index,leg_changed,gt_x,gt_y,prediction_x,prediction_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,measurement_x,measurement_y,measurement_var_x,measurement_var_y,final_x,final_y,vx,vy,ax,ay,accepted_progress_m,cross_track_m,candidate_capture
0,0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-30.466901779174805,4.306797504425049,9.403800010681152,9.31470012664795,-28.383748196051037,3.1630990513167347,-6.534914676232018,3.6221353245900856,-0.9968513912896299,0.552529117310352,10.114713668823242,-4.270988464355469,1
1,0,0,-25.919267654418945,-1.4582853317260742,-35.41708856792787,7.061498934561996,-27.772829055786133,9.233684539794922,-32.50415802001953,9.263697624206543,-35.35342025756836,7.893845081329346,9.652397155761719,9.504805564880371,-35.36451015229825,7.750230672315938,-7.487879603917099,4.7505830145626184,-0.9832437054422013,0.7313215819731226,17.5438175201416,-8.089523315429688,1
2,0,0,-25.919267654418945,-1.4582853317260742,-43.344011608936455,12.866474477865118,-37.266056060791016,4.535549163818359,-41.96681213378906,9.323718070983887,-41.96211624145508,9.073474884033203,9.760217666625977,9.587103843688965,-42.20140533021524,9.725167707712103,-7.554939352825713,2.9570942311500246,-0.6635159119259381,-0.15140494405880722,24.552003860473633,-9.3259859085083,0
3,0,0,-25.919267654418945,-1.4582853317260742,-50.08810263900392,12.606559466832724,-41.87510299682617,23.598194122314453,-51.42947006225586,9.383732795715332,-53.90355682373047,10.729158401489258,9.818169593811035,9.6312837600708,-53.17887204667479,11.083484758395276,-10.52963703823944,1.6639399451603598,-1.432352657385803,-0.5319489848858523,35.61167526245117,-9.508880615234375,0
4,0,0,-34.80412292480469,-0.5788613557815552,-64.42468541360712,12.48145021111271,-79.75631713867188,19.08005714416504,-70.35478210449219,9.503743171691895,-69.28707122802734,10.60546588897705,9.847123146057129,9.653363227844238,-68.24243796756859,11.006450606971935,-14.592395535841012,0.11321572152641246,-2.238060314421883,-0.8446298136305791,50.581581115722656,-7.829912185668945,0
5,0,0,-34.80412292480469,-0.5788613557815552,-83.95386366062054,10.697351421683058,-89.2495346069336,14.381888389587402,-84.54875946044922,9.593735694885254,-84.79840850830078,9.105815887451172,9.86306381225586,9.665499687194824,-84.59465316400988,9.488117315091104,-17.241730162831985,-1.5095223261063202,-2.3564087052145277,-1.0690511308006907,66.67950439453125,-4.580743789672852,0
6,0,0,-34.80412292480469,-0.5788613557815552,-103.01458767944914,7.4440694235844385,-117.69860076904297,5.045505523681641,-98.74274444580078,9.683713912963867,-102.76819610595703,8.163572311401367,9.875100135803223,9.67462158203125,-102.83300756852981,7.975103551595099,-19.48680787339284,-2.2520617523132556,-2.3252465157073123,-0.9774128616022898,84.6534423828125,-1.1362285614013672,0
7,0,0,-44.61831283569336,0.40075016021728516,-123.48243869977631,5.234335368480699,-122.33829498291016,19.349964141845703,-127.1307144165039,9.863629341125488,-125.51191711425781,7.629308223724365,9.88209056854248,9.679932594299316,-124.94984561568693,6.968854168991319,-22.693574475402748,-2.184226314037248,-2.5713252215333604,-0.6847644140269725,106.53775024414062,2.2169675827026367,0
8,0,0,-44.61831283569336,0.40075016021728516,-148.92908270185634,4.4422456479405845,-160.21946716308594,14.831619262695312,-150.81788635253906,5.255358695983887,-149.42710876464844,6.717191219329834,9.88645076751709,9.68327522277832,-149.28585756119352,6.074865567410614,-25.47821194329506,-1.8896345260638385,-2.6312022226476195,-0.4090263865025171,130.64059448242188,5.694601058959961,0
9,0,0,-44.61831283569336,0.40075016021728516,-176.0796706158124,3.9807178480955163,-169.68212890625,14.891556739807129,-174.44398498535156,10.163365364074707,-175.07830810546875,7.392730236053467,9.889928817749023,9.68591022491455,-175.36453427690185,6.421981419387265,-27.681606890858028,-0.8333749175202376,-2.5106197069838347,0.005213839114839247,156.6082305908203,8.12354564666748,0
10,0,0,-54.585689544677734,1.3803616762161255,-204.3014510212518,5.591213421424447,-202.80142211914062,15.10129165649414,-202.8319549560547,10.343133926391602,-203.2959747314453,8.538673400878906,9.892171859741211,9.6876220703125,-203.58381812382456,7.698833389756628,-29.762683784697337,0.4375546542363018,-2.3893932017536943,0.36348080709841435,184.80322265625,9.85573673248291,0
