variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,200,5.147442331886899,4.417917276074075,9.268971046353327,11.335685567593524,14.419307862002425,11.84888710445337,31.5,57.99999999999999,92.0,99.5,100.0,7.124539315538763
frames2,2 frames,200,5.146957834093332,4.418235755340774,9.262027158003706,11.333163340214597,14.419302342846626,11.846932102414716,31.5,57.99999999999999,92.0,99.5,100.0,8.035622728172754
full,Full,200,5.145661081791719,4.41902884155734,9.244536296395058,11.3303920627857,14.41845381391303,11.841089497471282,30.5,57.99999999999999,92.0,99.5,100.0,5.049800956356005
grid4,4x4,200,5.149199332396677,4.419943515590229,9.248903317591989,11.310146619840866,14.418800148599084,11.843901828888443,31.5,57.99999999999999,92.0,99.5,100.0,4.036614646275456
grid5,5x5,200,5.146530574156388,4.419317991279334,9.24637086871514,11.327702217050867,14.418453965882007,11.842451552277975,31.0,57.99999999999999,92.0,99.5,100.0,4.776205239279043
grid7,7x7,200,5.143972492597941,4.418761897672188,9.24336104325103,11.335440105818504,14.418428401470686,11.840344365405173,30.5,57.99999999999999,92.0,99.5,100.0,8.592590881493082
grid8,8x8,200,5.143142146618873,4.418674132071997,9.241105334547141,11.335057042370593,14.418426237641084,11.83895906554623,30.5,57.99999999999999,92.0,99.5,100.0,10.298854128016208
no_gru,w/o GRU,200,5.212402308148768,4.223661502700191,9.729707236113338,11.553912729032659,14.420622155859789,12.351263133337024,32.5,59.0,90.0,99.0,100.0,6.857694774593409
no_kalman,w/o Kalman,200,4.396938756674277,3.6748327057852364,8.015024413008646,10.022438350214717,14.107057405088645,10.233654062730611,38.5,65.0,94.5,100.0,100.0,6.624926468935187
no_ms,w/o MeanShift,200,6.911586750257975,6.39936363729832,13.07875890973037,16.090584861680355,19.365571870622734,16.643709958464513,26.5,40.0,75.5,92.5,99.5,0.0
